kalimat,kategori_teks
“12 puskesmas di Sukoharjo telah memiliki klinik VCT.,kesehatan
"""Ada kemungkinan masa rehatnya itu akan panjang, karena itu dia tak bisa menentukan kapan akan kembali ke dunia hiburan.""",kesehatan
"""Adapun penyebab kematiannya adalah air mendidih bersuhu 92 derajat celsius yang menyebabkan luka bakar hingga 75 persen di tubuhnya.""",kesehatan
"""Ada empat orang yang akan membesuk ke rumah sakit,"" ungkapnya.",kesehatan
"“Ada tempat-tempat yang tidak boleh merokok.""",kesehatan
"""Agus memastikan, dari ratusan mahasiswa yang dirawat di RSPP tidak ada yang menjadi korban penembakan.""",kesehatan
"""Airnya agak keruh tapi enggak ada efeknya cuma enak aja ke badan,"" kata ayah dua anak tersebut.""",kesehatan
"Akibat kejadian kecelakaan lalu lintas tersebut, lanjut Asep, korban mengalami luka berat kemudian dibawa ke RSUD Bayu Asih Purwakarta.",kesehatan
"Akibatnya korban mengalami luka bakar di tangan, kaki dan wajah.",kesehatan
Alwi Mujahit menginformasikan bahwa dirinya telah berkomunikasi dengan dokter yang menangani operasi Gabriel.,kesehatan
Amygdalin atau yang juga disebut vitamin B17 adalah zat dari tanaman yang didapatkan dari kacang-kacangan dan buah-buahan.,kesehatan
Anak-anak dan remaja memiliki frekuensi mimpi buruk yang sangat tinggi dibandingkan orang dewasa.,kesehatan
"Anak keduanya, Mishael Wike Tannaka digigit anjing Pitbull di wajah hingga berlumuran darah.",kesehatan
"Anamnesis yang tepat harus dilakukan pada pasien rhinitis alergi, riwayat keluhan dan riwayat penyakit keluarga.",kesehatan
Angka kebutaan di Jawa Timur di atas rata-rata nasional.,kesehatan
"Angka kejadian kanker pun terus mengalami peningkatan yang cukup tinggi, terutama di negara-negara berkembang.",kesehatan
"Apalagi bila pola hidup sehat serta kebersihan lingkungan tidak dijaga, maka warga akan rentan terserang penyakit.",kesehatan
"“Asupan nutrisi protein harian sering terlewatkan, padahal protein berperan penting dalam mendukung gaya hidup aktif secara fisik.",kesehatan
"Asnawi mengatakan korban yang meninggal dunia bernama Zakiya Nurwaningsih (34) dan Yuda Mahadika (30), keduanya warga Kabupaten Jombang yang berprofesi sebagai guru.",kesehatan
Atau Costal Taipan yang dapat menyebabkan kematian dalam waktu 30 menit.,kesehatan
Aturan ini akan melarang sebagian besar aborsi pada awal kehamilan atau berusia lebih dari enam minggu.,kesehatan
"Baca Juga: 281 Titik Api Terpantau di Sumsel, Status Udara Sempat 'Berbahaya'",kesehatan
Bagi masyarakat Indonesia tentunya sudah tahu bahwa nasi putih merupakan makanan pokok yang wajib.,kesehatan
"Bagusnya dia punya banyak waktu luang untuk pemulihan,"" kata Van Dijk.",kesehatan
"Bahkan, korban juga sempat diberi perawatan medis berupa obat Diazepam 2 ampul untuk menenangkannya.",kesehatan
"Bahkan korbannya sampai luka-luka karena jatuh aaat dijambret,” tegas Kapolresta Denpasar Kombes Pol. Ruddi Setiawan, Kamis (23/5).",kesehatan
"Bahkan, tak sedikit yang sudah menjadi korban luka maupun meninggal dunia.",kesehatan
"""Bahkan, menurut riset tersebut (Unicef), anak yang lahir pada 1997 mengalami pengurangan tinggi sekitar 3 cm dibandingkan anak lainnya,"" kata dia ketika ditemui di kantor eksekutif Walhi, Jakarta, Selasa (24/9).",kesehatan
"Bahkan sampah yang luar biasa banyaknya di aliran sungai, viral di media sosial maupun media mainstream.",kesehatan
"Bahkan, sang ibu sampai pingsan akibat tak kuat menahan kesedihannya dan syoknya melihat sang anak di Gelandang pihak kepolisian.",kesehatan
Bayi Kecil itupun terus menangis di rumah kosong yang memang sudah tak berpenghuni itu.,kesehatan
"Banyak Masalah, Ini 16 Manfaat Tersenyum Baik untuk Kesehatan, Salah Satunya Mengatasi Depresi!",kesehatan
"Beberapa di antaranya mengatur pencahayaan ruangan untuk menenangkan sapi, hingga memainkan aneka musik klasik yang dipercaya dapat mempengaruhi kualitas susu sapi.",kesehatan
"Beberapa jam sebelum kematian Sparta, Bima terus menginformasikan kondisi anjingnya tersebut.",kesehatan
"Beberapa penelitian menyebutkan, daun yang satu ini bisa memberikan berbagai manfaat kesehatan.",kesehatan
"Benar-benar sudah sangat parah sekali dan cukup membahayakan bagi aktivitas penerbangan,” ujarnya, Senin (16/9/2019).",kesehatan
Bentuk tubuh Deepika yang kencang dan sempurna adalah bukti dari hasil kedisiplinannya melaksanakan diet yang ketat.,kesehatan
"""Berat badan dari 50 kg-85 kg dengkul sampai enggak bisa nekuk.",kesehatan
Bencana alam ini menelan korban tewas lebih dari 4.800 jiwa.,kesehatan
"Berdasarkan data yang sama, dinkes mencatat penyebaran pasien hepatitis A merata hampir di seluruh Puskesmas.",kesehatan
